trial,start_time,rt,correct,alpha,fact_id,question,answer,priora
1,8343.0,1524.0,True,0.227727272727272,1,sala,prayer,0.227727272727272
2,14502.0,1278.0,True,0.305,2,ubini,forgery,0.305
3,19151.0,1048.0,True,0.305,2,ubini,forgery,0.305
4,23467.0,1115.0,True,0.223181818181818,3,theluji,snow,0.223181818181818
5,27810.0,1151.0,True,0.227727272727272,1,sala,prayer,0.227727272727272
6,32168.0,946.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727
7,37967.0,1039.0,True,0.277727272727272,5,yamini,oath,0.277727272727272
8,41922.0,1855.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636
9,48032.0,3248.0,False,0.277727272727272,5,yamini,oath,0.277727272727272
10,54797.0,4899.0,False,0.291363636363636,6,mshoni,tailor,0.291363636363636
11,63891.0,1781.0,True,0.223181818181818,3,theluji,snow,0.223181818181818
12,68406.0,944.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818
13,72745.0,924.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909
14,77673.0,3057.0,True,0.327336647727272,5,yamini,oath,0.277727272727272
15,84471.0,2599.0,False,0.264090909090909,8,fumbo,mystery,0.264090909090909
16,93358.0,1889.0,True,0.340973011363636,6,mshoni,tailor,0.291363636363636
17,98536.0,1759.0,False,0.223181818181818,7,tumbili,monkey,0.223181818181818
18,103662.0,1189.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181
19,107991.0,1337.0,True,0.37694602272727196,5,yamini,oath,0.277727272727272
20,113456.0,inf,True,0.255390625,2,ubini,forgery,0.305
21,118399.0,inf,False,0.236818181818181,9,ziwa,lake,0.236818181818181
22,129760.0,8102.0,False,0.313700284090909,8,fumbo,mystery,0.264090909090909
23,142026.0,954.0,True,0.055,10,mbwa,dog,0.055
24,145646.0,984.0,True,0.186818181818181,11,nyanya,tomato,0.186818181818181
25,150310.0,1542.0,True,0.227727272727272,12,rafiki,friend,0.227727272727272
26,155230.0,941.0,True,0.24590909090909,13,pafu,lung,0.24590909090909
