green-red
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,21411.0,4203.0,False,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
2,38266.0,5112.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
3,49530.0,2816.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
4,57606.0,inf,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
5,72885.0,8567.0,False,0.354609375,"rgb(255,197,0)",2,ubini,forgery,0.305
6,87268.0,5368.0,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
7,102392.0,inf,True,0.40421874999999996,"rgb(255,141,0)",2,ubini,forgery,0.305
8,121893.0,inf,False,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
9,134269.0,6259.0,True,0.4538281249999999,"rgb(255,84,0)",2,ubini,forgery,0.305
10,148980.0,1571.0,True,0.27733664772727196,"rgb(198,255,0)",1,sala,prayer,0.227727272727272
11,156156.0,2485.0,True,0.5034375,"rgb(255,28,0)",2,ubini,forgery,0.305
12,169621.0,5518.0,True,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727
13,182011.0,4654.0,False,0.503046875,"rgb(255,28,0)",2,ubini,forgery,0.305
14,190645.0,3219.0,True,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
15,200995.0,2498.0,True,0.5378124999999999,"rgb(255,28,0)",2,ubini,forgery,0.305
16,208285.0,1644.0,True,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
17,214300.0,1703.0,True,0.272791193181818,"rgb(198,255,0)",3,theluji,snow,0.223181818181818
18,219539.0,1498.0,True,0.549921875,"rgb(255,28,0)",2,ubini,forgery,0.305
19,225278.0,4432.0,True,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
20,239367.0,6181.0,True,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
21,251183.0,5588.0,False,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
22,261873.0,2117.0,True,0.54953125,"rgb(255,28,0)",2,ubini,forgery,0.305
