green-red alternate
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,110698.0,5076.0,True,0.227727272727272,"rgb(142,255,142)",1,sala,prayer,0.227727272727272
2,119801.0,1621.0,True,0.305,"rgb(255,255,255)",2,ubini,forgery,0.305
3,125465.0,1213.0,True,0.305,"rgb(255,255,255)",2,ubini,forgery,0.305
4,130187.0,1126.0,True,0.227727272727272,"rgb(142,255,142)",1,sala,prayer,0.227727272727272
5,136216.0,2520.0,True,0.223181818181818,"rgb(142,255,142)",3,theluji,snow,0.223181818181818
6,141796.0,4275.0,True,0.132272727272727,"rgb(29,255,29)",4,iktisadi,economy,0.132272727272727
7,152623.0,2841.0,True,0.277727272727272,"rgb(198,255,198)",5,yamini,oath,0.277727272727272
8,160241.0,2328.0,True,0.223181818181818,"rgb(142,255,142)",3,theluji,snow,0.223181818181818
9,165733.0,1454.0,True,0.277727272727272,"rgb(198,255,198)",5,yamini,oath,0.277727272727272
10,170482.0,3251.0,True,0.291363636363636,"rgb(255,255,255)",6,mshoni,tailor,0.291363636363636
11,180243.0,4242.0,True,0.223181818181818,"rgb(142,255,142)",7,tumbili,monkey,0.223181818181818
12,189875.0,1902.0,True,0.291363636363636,"rgb(255,255,255)",6,mshoni,tailor,0.291363636363636
13,195400.0,1816.0,True,0.264090909090909,"rgb(198,255,198)",8,fumbo,mystery,0.264090909090909
14,205218.0,2781.0,True,0.223181818181818,"rgb(142,255,142)",7,tumbili,monkey,0.223181818181818
15,212386.0,1197.0,True,0.264090909090909,"rgb(198,255,198)",8,fumbo,mystery,0.264090909090909
16,217718.0,2385.0,True,0.236818181818181,"rgb(198,255,198)",9,ziwa,lake,0.236818181818181
17,224056.0,5834.0,False,0.255390625,"rgb(198,255,198)",2,ubini,forgery,0.305
18,233394.0,1628.0,True,0.236818181818181,"rgb(198,255,198)",9,ziwa,lake,0.236818181818181
19,238094.0,3230.0,True,0.055,"rgb(29,255,29)",10,mbwa,dog,0.055
20,244492.0,4476.0,True,0.186818181818181,"rgb(85,255,85)",11,nyanya,tomato,0.186818181818181
21,252689.0,1883.0,True,0.227727272727272,"rgb(142,255,142)",12,rafiki,friend,0.227727272727272
22,259601.0,1959.0,True,0.24590909090909,"rgb(198,255,198)",13,pafu,lung,0.24590909090909
23,264879.0,2694.0,True,0.268636363636363,"rgb(198,255,198)",14,paji,forehead,0.268636363636363
24,272500.0,3069.0,False,0.24590909090909,"rgb(198,255,198)",13,pafu,lung,0.24590909090909
25,278853.0,1187.0,False,0.268636363636363,"rgb(198,255,198)",14,paji,forehead,0.268636363636363
26,283208.0,976.0,True,0.227727272727272,"rgb(142,255,142)",12,rafiki,friend,0.227727272727272
27,288068.0,8972.0,False,0.272791193181818,"rgb(198,255,198)",7,tumbili,monkey,0.223181818181818
28,300455.0,4872.0,False,0.30499999999999994,"rgb(255,255,255)",2,ubini,forgery,0.305
29,308862.0,1265.0,True,0.186818181818181,"rgb(85,255,85)",11,nyanya,tomato,0.186818181818181
30,314211.0,1366.0,False,0.31824573863636296,"rgb(255,255,255)",14,paji,forehead,0.268636363636363
31,318301.0,4418.0,True,0.273181818181818,"rgb(198,255,198)",15,mfupa,bone,0.273181818181818
