Num,Swahili,English,Prop. Correct T1,Prop. Correct T2,Prop. Correct T3
1,mbwa,dog,0.55,0.86,0.93
2,lulu,pearl,0.51,0.83,0.95
3,wingu,cloud,0.42,0.8,0.91
4,iktisadi,economy,0.38,0.69,0.74
5,goti,knee,0.36,0.64,0.79
6,yai,egg,0.36,0.76,0.89
7,pombe,beer,0.32,0.62,0.85
8,godoro,mattress,0.31,0.58,0.8
9,fagio,broom,0.28,0.56,0.75
10,tabibu,doctor,0.27,0.72,0.74
11,buu,maggot,0.26,0.68,0.86
12,ndoo,bucket,0.26,0.59,0.79
13,nyanya,tomato,0.26,0.65,0.85
14,sumu,poison,0.26,0.52,0.74
15,roho,soul,0.24,0.62,0.76
16,chakula,food,0.23,0.57,0.72
17,kaa,crab,0.22,0.65,0.87
18,maiti,corpse,0.22,0.58,0.74
19,farasi,horse,0.21,0.5,0.69
20,leso,scarf,0.21,0.47,0.67
21,hariri,silk,0.2,0.52,0.7
22,malkia,queen,0.2,0.51,0.74
23,rembo,ornament,0.2,0.49,0.76
24,zulia,carpet,0.2,0.48,0.75
25,pipa,barrel,0.19,0.54,0.73
26,fununu,rumor,0.18,0.49,0.7
27,pazia,curtain,0.18,0.39,0.59
28,theluji,snow,0.18,0.56,0.74
29,tumbili,monkey,0.18,0.56,0.77
30,vuke,steam,0.18,0.57,0.72
31,wasaa,leisure,0.18,0.54,0.75
32,kaburi,grave,0.17,0.56,0.7
33,rafiki,friend,0.17,0.55,0.75
34,sala,prayer,0.17,0.53,0.65
35,kaputula,shorts,0.15,0.43,0.72
36,mashua,boat,0.15,0.37,0.62
37,punda,donkey,0.15,0.39,0.71
38,usingizi,sleep,0.15,0.57,0.78
39,ziwa,lake,0.15,0.41,0.65
40,elimu,science,0.14,0.6,0.76
41,zeituni,olives,0.14,0.42,0.59
42,adhama,honor,0.13,0.39,0.62
43,adui,enemy,0.13,0.42,0.63
44,bustani,garden,0.13,0.49,0.68
45,dafina,treasure,0.13,0.51,0.81
46,embe,mango,0.13,0.41,0.59
47,nabii,prophet,0.13,0.36,0.58
48,pafu,lung,0.13,0.46,0.66
49,pamba,cotton,0.13,0.46,0.71
50,samadi,manure,0.13,0.44,0.67
51,baharia,sailor,0.11,0.42,0.6
52,chama,society,0.11,0.32,0.46
53,jani,leaf,0.11,0.38,0.62
54,chura,frog,0.1,0.3,0.57
55,lozi,almond,0.1,0.33,0.58
56,nira,yoke,0.1,0.31,0.52
57,wakili,agent,0.1,0.37,0.56
58,yatima,orphan,0.1,0.41,0.64
59,bahasha,envelope,0.09,0.27,0.5
60,chaza,oyster,0.09,0.27,0.48
61,fumbo,mystery,0.09,0.35,0.58
62,hamira,yeast,0.09,0.34,0.6
63,vumbi,dust,0.09,0.43,0.53
64,ambo,glue,0.08,0.37,0.59
65,bandari,harbor,0.08,0.3,0.56
66,dalasini,cinnamon,0.08,0.31,0.58
67,inda,spite,0.08,0.36,0.6
68,jeraha,wound,0.08,0.23,0.5
69,lango,gate,0.08,0.26,0.51
70,nanga,anchor,0.08,0.25,0.42
71,paji,forehead,0.08,0.39,0.64
72,zabibu,grapes,0.08,0.28,0.56
73,desturi,custom,0.07,0.3,0.52
74,duara,wheel,0.07,0.31,0.5
75,handaki,trench,0.07,0.41,0.64
76,joko,kiln,0.07,0.44,0.74
77,mfupa,bone,0.07,0.27,0.5
78,sahani,plate,0.07,0.22,0.38
79,sanda,shroud,0.07,0.4,0.68
80,utenzi,poem,0.07,0.38,0.64
81,adha,trouble,0.06,0.4,0.55
82,jibini,cheese,0.06,0.3,0.51
83,kasuku,parrot,0.06,0.23,0.38
84,rushwa,bribe,0.06,0.36,0.58
85,tajiri,merchant,0.06,0.33,0.58
86,talaka,divorce,0.06,0.31,0.55
87,yamini,oath,0.06,0.22,0.47
88,ankra,invoice,0.04,0.15,0.4
89,chimbo,quarry,0.04,0.26,0.47
90,gharika,flood,0.04,0.19,0.47
91,gutu,stump,0.04,0.26,0.49
92,hadithi,story,0.04,0.28,0.46
93,kamba,rope,0.04,0.25,0.51
94,lawama,blame,0.04,0.31,0.5
95,nafaka,corn,0.04,0.2,0.42
96,fahali,bull,0.03,0.18,0.38
97,mshoni,tailor,0.03,0.28,0.51
98,ruba,leech,0.03,0.31,0.54
99,ladha,flavor,0.02,0.18,0.43
100,ubini,forgery,0,0.08,0.37
