trial,start_time,rt,correct,alpha,fact_id,question,answer,priora,colour
1,8458.0,inf,True,0.227727272727272,1,sala,prayer,0.227727272727272,red
2,26299.0,2170.0,False,0.305,2,ubini,forgery,0.305,blue
3,34195.0,1734.0,True,0.305,2,ubini,forgery,0.305,blue
4,40120.0,4268.0,False,0.227727272727272,1,sala,prayer,0.227727272727272,red
5,46941.0,1809.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
6,54095.0,4921.0,True,0.132272727272727,4,iktisadi,economy,0.132272727272727,purple
7,67674.0,3216.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
8,75174.0,2053.0,True,0.223181818181818,3,theluji,snow,0.223181818181818,green
9,80284.0,1776.0,True,0.277727272727272,5,yamini,oath,0.277727272727272,grey
10,85419.0,4906.0,True,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
11,94334.0,5490.0,True,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
12,103455.0,4004.0,False,0.291363636363636,6,mshoni,tailor,0.291363636363636,violet
13,111670.0,2150.0,True,0.27733664772727196,1,sala,prayer,0.227727272727272,red
14,117019.0,2052.0,False,0.223181818181818,7,tumbili,monkey,0.223181818181818,yellow
15,123389.0,1703.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
16,129479.0,2424.0,False,0.340973011363636,6,mshoni,tailor,0.291363636363636,violet
17,137787.0,2066.0,True,0.264090909090909,8,fumbo,mystery,0.264090909090909,pink
18,144287.0,3548.0,False,0.255390625,2,ubini,forgery,0.305,blue
19,151935.0,2114.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
20,161387.0,inf,True,0.39058238636363596,6,mshoni,tailor,0.291363636363636,violet
21,171166.0,1876.0,True,0.236818181818181,9,ziwa,lake,0.236818181818181,cyan
22,175868.0,1779.0,True,0.055,10,mbwa,dog,0.055,orange
23,181959.0,2486.0,True,0.4401917613636359,6,mshoni,tailor,0.291363636363636,violet
