blue-red alternate
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,113948.0,7445.0,True,0.227727272727272,"rgb(142,142,255)",1,sala,prayer,0.227727272727272
2,130088.0,5201.0,True,0.305,"rgb(255,255,255)",2,ubini,forgery,0.305
3,144075.0,1852.0,True,0.305,"rgb(255,255,255)",2,ubini,forgery,0.305
4,151417.0,1781.0,True,0.227727272727272,"rgb(142,142,255)",1,sala,prayer,0.227727272727272
5,158059.0,5363.0,True,0.223181818181818,"rgb(142,142,255)",3,theluji,snow,0.223181818181818
6,167044.0,2306.0,True,0.132272727272727,"rgb(29,29,255)",4,iktisadi,economy,0.132272727272727
7,181545.0,1632.0,True,0.223181818181818,"rgb(142,142,255)",3,theluji,snow,0.223181818181818
8,187989.0,inf,True,0.277727272727272,"rgb(198,198,255)",5,yamini,oath,0.277727272727272
9,204845.0,5021.0,True,0.291363636363636,"rgb(255,255,255)",6,mshoni,tailor,0.291363636363636
10,222258.0,5764.0,True,0.277727272727272,"rgb(198,198,255)",5,yamini,oath,0.277727272727272
11,231420.0,3351.0,False,0.291363636363636,"rgb(255,255,255)",6,mshoni,tailor,0.291363636363636
12,237938.0,5085.0,True,0.223181818181818,"rgb(142,142,255)",7,tumbili,monkey,0.223181818181818
13,249247.0,2628.0,True,0.264090909090909,"rgb(198,198,255)",8,fumbo,mystery,0.264090909090909
14,268581.0,inf,True,0.327336647727272,"rgb(255,197,197)",5,yamini,oath,0.277727272727272
15,280070.0,3838.0,True,0.264090909090909,"rgb(198,198,255)",8,fumbo,mystery,0.264090909090909
16,288321.0,3119.0,False,0.340973011363636,"rgb(255,197,197)",6,mshoni,tailor,0.291363636363636
17,294466.0,4497.0,True,0.223181818181818,"rgb(142,142,255)",7,tumbili,monkey,0.223181818181818
18,304343.0,inf,False,0.255390625,"rgb(198,198,255)",2,ubini,forgery,0.305
19,336301.0,3003.0,True,0.39058238636363596,"rgb(255,141,141)",6,mshoni,tailor,0.291363636363636
20,343839.0,inf,True,0.358977272727272,"rgb(255,197,197)",5,yamini,oath,0.277727272727272
21,351460.0,1338.0,True,0.313700284090909,"rgb(255,255,255)",8,fumbo,mystery,0.264090909090909
22,357365.0,4466.0,True,0.236818181818181,"rgb(198,198,255)",9,ziwa,lake,0.236818181818181
23,365277.0,2340.0,True,0.40858664772727193,"rgb(255,141,141)",5,yamini,oath,0.277727272727272
24,372286.0,1589.0,True,0.41050426136363605,"rgb(255,141,141)",6,mshoni,tailor,0.291363636363636
25,377207.0,1161.0,True,0.236818181818181,"rgb(198,198,255)",9,ziwa,lake,0.236818181818181
26,381325.0,1618.0,True,0.272791193181818,"rgb(198,198,255)",7,tumbili,monkey,0.223181818181818
27,386301.0,7906.0,True,0.30499999999999994,"rgb(255,255,255)",2,ubini,forgery,0.305
28,399436.0,4453.0,True,0.055,"rgb(29,29,255)",10,mbwa,dog,0.055
29,406935.0,1886.0,True,0.426946022727272,"rgb(255,84,84)",5,yamini,oath,0.277727272727272
30,411921.0,7480.0,True,0.186818181818181,"rgb(85,85,255)",11,nyanya,tomato,0.186818181818181
31,423423.0,5213.0,True,0.227727272727272,"rgb(142,142,255)",12,rafiki,friend,0.227727272727272
32,437015.0,inf,True,0.41011363636363607,"rgb(255,141,141)",6,mshoni,tailor,0.291363636363636
33,445260.0,2382.0,True,0.227727272727272,"rgb(142,142,255)",12,rafiki,friend,0.227727272727272
