green-red
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,53883.0,2624.0,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
2,60896.0,2653.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
3,70903.0,2305.0,True,0.305,"rgb(255,255,0)",2,ubini,forgery,0.305
4,77873.0,inf,True,0.227727272727272,"rgb(142,255,0)",1,sala,prayer,0.227727272727272
5,83928.0,2442.0,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
6,89735.0,3339.0,True,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727
7,96877.0,1664.0,True,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
8,101690.0,2666.0,True,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
9,112280.0,4444.0,True,0.277727272727272,"rgb(198,255,0)",5,yamini,oath,0.277727272727272
10,119936.0,2531.0,True,0.291363636363636,"rgb(255,255,0)",6,mshoni,tailor,0.291363636363636
11,125986.0,1544.0,True,0.223181818181818,"rgb(142,255,0)",3,theluji,snow,0.223181818181818
12,130656.0,inf,False,0.30304687500000005,"rgb(255,255,0)",2,ubini,forgery,0.305
13,138794.0,1582.0,True,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
14,148314.0,19737.0,False,0.327336647727272,"rgb(255,197,0)",5,yamini,oath,0.277727272727272
15,171428.0,inf,False,0.27733664772727196,"rgb(198,255,0)",1,sala,prayer,0.227727272727272
16,189947.0,2937.0,True,0.223181818181818,"rgb(142,255,0)",7,tumbili,monkey,0.223181818181818
17,196314.0,inf,False,0.35265625,"rgb(255,197,0)",2,ubini,forgery,0.305
18,206886.0,inf,True,0.37694602272727196,"rgb(255,141,0)",5,yamini,oath,0.277727272727272
19,222387.0,1844.0,False,0.276910511363636,"rgb(198,255,0)",6,mshoni,tailor,0.291363636363636
20,227054.0,4038.0,True,0.40226562499999996,"rgb(255,141,0)",2,ubini,forgery,0.305
21,234738.0,1617.0,False,0.4265553977272719,"rgb(255,84,0)",5,yamini,oath,0.277727272727272
22,239952.0,799.0,True,0.3269460227272719,"rgb(255,197,0)",1,sala,prayer,0.227727272727272
23,244260.0,1143.0,True,0.264090909090909,"rgb(198,255,0)",8,fumbo,mystery,0.264090909090909
24,249494.0,1493.0,True,0.236818181818181,"rgb(198,255,0)",9,ziwa,lake,0.236818181818181
25,253719.0,2636.0,True,0.264090909090909,"rgb(198,255,0)",8,fumbo,mystery,0.264090909090909
26,261192.0,inf,True,0.45897727272727196,"rgb(255,28,0)",5,yamini,oath,0.277727272727272
27,266860.0,6449.0,True,0.426875,"rgb(255,84,0)",2,ubini,forgery,0.305
28,276683.0,1082.0,True,0.236818181818181,"rgb(198,255,0)",9,ziwa,lake,0.236818181818181
29,280406.0,1822.0,True,0.32651988636363594,"rgb(255,197,0)",6,mshoni,tailor,0.291363636363636
30,285544.0,1973.0,True,0.055,"rgb(29,255,0)",10,mbwa,dog,0.055
31,290179.0,2782.0,True,0.313700284090909,"rgb(255,255,0)",8,fumbo,mystery,0.264090909090909
