green-red alternate
trial,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora
1,31026.0,1802.0,True,0.227727272727272,"rgb(142,255,142)",1,sala,prayer,0.227727272727272
2,37046.0,1244.0,True,0.305,"rgb(255,255,255)",2,ubini,forgery,0.305
3,41711.0,inf,True,0.305,"rgb(255,255,255)",2,ubini,forgery,0.305
4,51701.0,1478.0,True,0.227727272727272,"rgb(142,255,142)",1,sala,prayer,0.227727272727272
5,59871.0,1445.0,True,0.354609375,"rgb(255,197,197)",2,ubini,forgery,0.305
6,65040.0,1871.0,True,0.223181818181818,"rgb(142,255,142)",3,theluji,snow,0.223181818181818
7,77501.0,3245.0,True,0.132272727272727,"rgb(29,255,29)",4,iktisadi,economy,0.132272727272727
8,87594.0,1046.0,True,0.223181818181818,"rgb(142,255,142)",3,theluji,snow,0.223181818181818
9,95181.0,2749.0,True,0.277727272727272,"rgb(198,255,198)",5,yamini,oath,0.277727272727272
10,109587.0,1679.0,True,0.291363636363636,"rgb(255,255,255)",6,mshoni,tailor,0.291363636363636
11,129207.0,1467.0,True,0.277727272727272,"rgb(198,255,198)",5,yamini,oath,0.277727272727272
12,133879.0,1702.0,True,0.291363636363636,"rgb(255,255,255)",6,mshoni,tailor,0.291363636363636
13,140721.0,3058.0,True,0.223181818181818,"rgb(142,255,142)",7,tumbili,monkey,0.223181818181818
14,147337.0,1904.0,True,0.264090909090909,"rgb(198,255,198)",8,fumbo,mystery,0.264090909090909
15,154134.0,1530.0,True,0.236818181818181,"rgb(198,255,198)",9,ziwa,lake,0.236818181818181
16,164243.0,1353.0,True,0.264090909090909,"rgb(198,255,198)",8,fumbo,mystery,0.264090909090909
17,170582.0,5164.0,True,0.223181818181818,"rgb(142,255,142)",7,tumbili,monkey,0.223181818181818
18,179229.0,1137.0,True,0.236818181818181,"rgb(198,255,198)",9,ziwa,lake,0.236818181818181
19,183274.0,inf,False,0.30500000000000005,"rgb(255,255,255)",2,ubini,forgery,0.305
20,197869.0,5189.0,True,0.055,"rgb(29,255,29)",10,mbwa,dog,0.055
21,205888.0,1406.0,True,0.186818181818181,"rgb(85,255,85)",11,nyanya,tomato,0.186818181818181
22,210847.0,1881.0,True,0.227727272727272,"rgb(142,255,142)",12,rafiki,friend,0.227727272727272
23,223877.0,2103.0,True,0.24590909090909,"rgb(198,255,198)",13,pafu,lung,0.24590909090909
24,229591.0,3695.0,True,0.354609375,"rgb(255,197,197)",2,ubini,forgery,0.305
25,237120.0,951.0,True,0.227727272727272,"rgb(142,255,142)",12,rafiki,friend,0.227727272727272
26,241698.0,1597.0,True,0.24590909090909,"rgb(198,255,198)",13,pafu,lung,0.24590909090909
27,246136.0,1083.0,True,0.272791193181818,"rgb(198,255,198)",7,tumbili,monkey,0.223181818181818
28,250374.0,3320.0,True,0.268636363636363,"rgb(198,255,198)",14,paji,forehead,0.268636363636363
29,257478.0,2776.0,True,0.273181818181818,"rgb(198,255,198)",15,mfupa,bone,0.273181818181818
30,263202.0,1083.0,True,0.268636363636363,"rgb(198,255,198)",14,paji,forehead,0.268636363636363
31,267763.0,1608.0,True,0.273181818181818,"rgb(198,255,198)",15,mfupa,bone,0.273181818181818
32,272082.0,2940.0,True,0.186818181818181,"rgb(85,255,85)",11,nyanya,tomato,0.186818181818181
