Qnum;Item;Sentence;Picture;ListNum;Answer;ID;NativeLg;Age;Gender;Date;Year;Hour
1; Q3;a;a;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:39:59
2; Q8;b;b;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:40:14
3; Q6;e;e;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:40:23
4; Q24;d;d;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:40:31
5; Q17;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:40:47
6; Q5;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:40:54
7; Q4;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:01
8; Q16;c;c;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:09
9; Q9;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:14
10; Q3;f;f;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:23
11; Q11;b;b;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:27
12; Q5;a;a;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:33
13; Q13;c;c;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:43
14; Q1;f;f;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:49
15; Q2;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:54
16; Q15;c;c;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:41:59
17; Q10;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:42:08
18; Q18;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:42:33
19; Q21;d;d;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:10
20; Q12;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:15
21; Q9;b;b;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:19
22; Q18;c;c;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:23
23; Q13;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:30
24; Q6;a;a;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:39
25; Q12;b;b;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:44
26; Q11;e;e;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:50
27; Q14;c;c;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:43:56
28; Q23;d;d;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:01
29; Q2;f;f;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:05
30; Q20;d;d;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:10
31; Q16;e;e;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:16
32; Q1;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:22
33; Q7;b;b;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:27
34; Q7;e;e;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:46
35; Q10;b;b;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:44:52
36; Q1;a;a;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:45:03
37; Q14;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:45:15
38; Q4;f;f;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:45:27
39; Q3;e;e;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:45:31
40; Q17;c;c;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:45:35
41; Q6;f;f;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:45:40
42; Q4;a;a;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:18
43; Q8;e;e;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:23
44; Q2;a;a;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:27
45; Q15;e;e;1;1; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:30
46; Q19;d;d;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:35
47; Q22;d;d;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:41
48; Q5;f;f;1;0; s000000b09052016-163843.9;2;21; f;  September 5;2016; 16:46:44
